City,State,County,Lat,Lng,Population,Area,Job,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year
Chatsworth,IL,Livingston,40.73772,-88.28785,1517,Urban,Information officer,4,69,11211.59,Widowed,Male,Yes,5.540788887,15,1,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,3.471329958,267.664655,1081.814362
Albion,MI,Calhoun,42.28109,-84.75184,14103,Suburban,Outdoor activities/education manager,1,52,8283.29,Never Married,Male,Yes,13.80362698,11,0,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Mailed Check,5.478588204,162.483267,1209.961168
Marlborough,CT,Hartford,41.63306,-72.45472,6394,Suburban,Market researcher,2,26,10114.81,Never Married,Female,Yes,16.31017089,16,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),3.312991809,229.993134,897.5919144
Lafayette,NJ,Sussex,41.10336,-74.68407,5059,Urban,"Surveyor, insurance",1,25,36229.21,Never Married,Female,No,9.447065309,9,2,0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,7.161561527,140.00128,1340.930156
Washington,DC,District of Columbia,38.93845,-76.99317,20450,Suburban,Office manager,1,66,25397.44,Divorced,Female,No,16.84100845,12,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Credit Card (automatic),9.847563364,184.964681,1113.993679
Dublin,PA,Bucks,40.37305,-75.2041,2123,Suburban,Editorial assistant,1,72,50336.5,Divorced,Male,No,7.972937227,10,1,1,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,16.04202196,147.473844,1530.10769
Mantoloking,NJ,Ocean,40.02145,-74.06183,1164,Urban,Customer service manager,3,21,38211.37,Divorced,Female,No,11.42906608,12,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,9.179779682,172.457857,1310.137419
Sproul,PA,Blair,40.26608,-78.45782,23,Suburban,"Production designer, theatre/television/film",3,55,52887.26,Married,Male,No,8.06137096,16,2,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Electronic Check,3.002844144,107.481989,892.8964931
Springer,OK,Carter,34.35204,-97.25336,895,Suburban,Analytical chemist,4,41,12003.33,Divorced,Male,Yes,12.54780492,11,1,2,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Credit Card (automatic),3.924254455,255.141716,1125.581944
Homer City,PA,Indiana,40.52449,-79.08432,6699,Suburban,Print production planner,4,32,24090.62,Never Married,Male,No,8.255565152,13,0,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,18.55959629,192.456745,2016.710031
Sagola,MI,Dickinson,46.07835,-88.03348,320,Urban,"Conservation officer, nature",2,44,54458.38,Divorced,Female,Yes,10.58349704,5,1,0,No,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,10.377366,245.174977,1710.689671
Acme,WA,Whatcom,48.68497,-122.19692,861,Suburban,Applications developer,3,43,37358.13,Never Married,Female,Yes,9.750038902,11,1,0,Yes,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Credit Card (automatic),9.427146079,195.006206,1213.940165
Chattanooga,TN,Hamilton,35.10444,-85.17661,15364,Rural,"Librarian, public",1,86,26534.16,Separated,Female,No,7.868660851,11,2,2,No,Two Year,Yes,No,None,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),7.760290062,104.962874,740.010722
Harvey,ND,Wells,47.77527,-99.85,2589,Suburban,Financial adviser,2,84,76430.83,Married,Female,No,12.43563329,14,0,1,No,Month-to-month,No,Yes,None,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,11.56938439,92.488023,897.9716153
Goodwater,AL,Coosa,33.08977,-86.06138,4901,Urban,"Surveyor, building",2,62,4662.37,Separated,Female,Yes,8.957166926,13,3,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Bank Transfer(automatic),3.343811019,184.979684,1026.387172
Transylvania,LA,East Carroll,32.6644,-91.19645,456,Suburban,Diagnostic radiographer,1,59,38391.55,Never Married,Female,No,4.210347704,8,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,5.486534225,149.962093,727.3731845
Jolley,IA,Calhoun,42.47954,-94.75105,94,Urban,"Doctor, general practice",0,31,44137.6,Separated,Female,Yes,11.13960534,6,0,0,Yes,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),1.55278221,169.944668,452.8721504
Miller,NE,Buffalo,40.95947,-99.37702,315,Urban,Insurance risk surveyor,0,51,14364.65,Widowed,Male,Yes,9.03738856,11,2,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Mailed Check,12.07970325,160.00128,1296.674543
Welch,WV,McDowell,37.44262,-81.57762,4969,Suburban,Heritage manager,1,58,62359.91,Separated,Female,No,10.91594785,11,1,1,No,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Mailed Check,13.98666226,129.962093,1840.628269
Racine,WI,Racine,42.68864,-87.82515,26182,Suburban,Radio producer,1,58,14568.7,Separated,Male,Yes,10.22013704,15,2,0,No,Two Year,Yes,No,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),15.72071086,220.14775,1868.864027
Chauncey,GA,Dodge,32.12693,-83.06218,694,Rural,Barrister's clerk,0,49,29207.46,Never Married,Female,No,8.425458142,9,1,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,7.233605493,124.97808,676.712908
Porum,OK,Muskogee,35.3619,-95.26371,3093,Suburban,"Engineer, automotive",1,26,55319.23,Never Married,Female,No,8.386280619,12,1,0,No,One year,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Mailed Check,2.871017037,164.964681,1086.990308
Delavan,IL,Tazewell,40.37342,-89.52646,2765,Urban,Recruitment consultant,1,25,81831.49,Widowed,Male,No,9.565924291,10,3,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,2.344875382,194.976769,704.7540406
Harveys Lake,PA,Luzerne,41.37478,-76.03486,3757,Rural,Commercial horticulturist,0,42,100076.65,Separated,Female,Yes,10.79349982,14,3,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Mailed Check,7.960490246,152.455519,1416.444695
Eagar,AZ,Apache,34.088,-109.3232,4938,Rural,"Pharmacist, community",1,81,69965.65,Widowed,Male,No,6.081975067,15,0,0,No,Month-to-month,No,Yes,None,Yes,No,No,No,Yes,No,No,No,No,Mailed Check,12.25062113,92.5018,1095.950634
Aulander,NC,Hertford,36.20782,-77.08433,3761,Suburban,Forest/woodland manager,1,43,34883.69,Divorced,Female,No,13.55065547,13,0,0,Yes,Month-to-month,No,Yes,None,Yes,No,No,No,Yes,No,No,Yes,Yes,Electronic Check,9.634946079,127.488728,1083.610268
Mokelumne Hill,CA,Calaveras,38.29793,-120.62131,1851,Urban,"Designer, graphic",2,63,45634.2,Never Married,Male,No,9.470419821,14,1,0,No,Two Year,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Bank Transfer(automatic),7.916533093,184.963371,1570.641337
Nevada,MO,Vernon,37.82945,-94.33173,13547,Urban,Science writer,1,78,22365.28,Widowed,Male,Yes,10.80393657,19,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Bank Transfer(automatic),10.79028074,207.609354,1323.028419
Slaton,TX,Lubbock,33.45204,-101.64305,7801,Urban,Health and safety inspector,0,48,52636.6,Separated,Male,No,7.903964267,17,0,1,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,Electronic Check,12.24190682,152.462354,1808.730555
Gillette,WY,Campbell,44.48072,-105.68542,17823,Suburban,"Administrator, Civil Service",1,63,19048.13,Separated,Female,Yes,11.27443693,18,2,1,Yes,Month-to-month,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),2.203859443,200.132293,1120.241472
North Royalton,OH,Cuyahoga,41.31414,-81.74522,30225,Rural,Special educational needs teacher,0,87,77996.88,Divorced,Male,Yes,7.969277912,17,0,0,Yes,One year,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Bank Transfer(automatic),3.7311787,255.119794,1268.086909
Cadiz,OH,Harrison,40.25609,-81.02123,5760,Suburban,Outdoor activities/education manager,3,54,47507.3,Married,Female,No,4.368120492,9,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Bank Transfer(automatic),7.980015371,134.950905,822.6771666
Homestead,MT,Sheridan,48.43505,-104.4389,61,Urban,"Civil engineer, consulting",3,35,7724.73,Divorced,Male,Yes,6.258356398,9,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,9.190009376,255.137219,1577.915603
Inglewood,CA,Los Angeles,33.9381,-118.3323,24693,Rural,Sports therapist,2,67,81124.71,Married,Female,Yes,12.43301273,13,0,0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,5.43464555,270.160419,1648.102673
Catlett,VA,Fauquier,38.6184,-77.62493,4235,Rural,"Engineer, communications",4,46,11795.57,Widowed,Female,Yes,7.607663559,11,0,0,No,Two Year,No,No,None,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Electronic Check,1.092361222,200.165175,768.0874545
Rockfield,KY,Warren,36.94686,-86.60235,2193,Urban,Oceanographer,1,50,74794.84,Never Married,Male,No,7.442789019,10,2,1,No,Two Year,No,No,DSL,Yes,No,No,Yes,No,No,No,Yes,No,Bank Transfer(automatic),20.13981517,149.937833,2426.030626
Concord,IL,Morgan,39.82437,-90.36129,273,Rural,Archaeologist,1,24,19038.78,Never Married,Female,Yes,13.04429298,18,1,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Mailed Check,24.64873861,240.114868,2660.503932
Little Falls,MN,Morrison,45.98881,-94.37486,14557,Rural,Personal assistant,0,20,79167.77,Divorced,Male,No,14.89762162,17,0,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,Yes,Credit Card (automatic),9.677739656,127.495766,1129.549713
Orlando,FL,Orange,28.57725,-81.39726,17653,Urban,Animal nutritionist,1,29,37428.26,Married,Female,Yes,13.79387475,13,2,1,No,One year,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,No,Electronic Check,9.82814183,187.609354,1771.286466
Millsboro,PA,Washington,39.9883,-79.99619,285,Rural,Hydrologist,0,31,45148.38,Divorced,Male,No,15.66367593,6,1,0,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,No,Credit Card (automatic),7.832238337,169.992756,943.3391244
Sagola,MI,Dickinson,46.07835,-88.03348,320,Urban,Arts development officer,5,72,74855.47,Separated,Female,No,8.513410306,13,3,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,No,Mailed Check,19.45250317,192.456745,1907.226083
Magnolia,KY,Hart,37.40057,-85.72074,2863,Urban,Herpetologist,4,71,45323.86,Divorced,Male,No,8.265002035,10,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Credit Card (automatic),14.34766616,120.004928,1885.939118
Gypsum,KS,Saline,38.65158,-97.41275,1206,Suburban,Medical sales representative,2,32,71596.14,Divorced,Female,No,8.6026551,11,0,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Bank Transfer(automatic),2.257358355,195.006206,631.7435653
Shade Gap,PA,Huntingdon,40.1613,-77.86247,1049,Suburban,Solicitor,3,67,19657.14,Widowed,Male,No,14.6040829,12,3,0,Yes,Month-to-month,No,No,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),4.650578623,114.983787,593.8572264
Waterbury,CT,New Haven,41.5865,-73.03305,25576,Rural,"Nurse, adult",4,21,15609.05,Separated,Female,Yes,8.913898759,12,4,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,Electronic Check,3.76663012,187.609354,1393.202392
Litchfield,CA,Lassen,40.54621,-120.23999,319,Urban,Automotive engineer,0,61,19815.63,Never Married,Female,No,11.59313893,13,0,2,No,One year,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Bank Transfer(automatic),4.151256695,134.950905,393.6524652
Seekonk,MA,Bristol,41.83778,-71.31735,15210,Urban,Therapeutic radiographer,0,63,41656.53,Widowed,Female,Yes,15.19664016,9,1,0,No,Month-to-month,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Mailed Check,13.85488928,222.628057,2138.107161
Shreveport,LA,Caddo,32.48494,-93.73255,14479,Suburban,"Education officer, environmental",2,32,15841.19,Never Married,Male,Yes,6.942719201,7,1,1,No,Two Year,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,No,No,Electronic Check,19.75096265,159.979358,2481.385603
San Antonio,FL,Pasco,28.32589,-82.32911,4654,Suburban,Colour technologist,0,76,81127.41,Never Married,Male,No,9.834012571,7,1,0,No,Two Year,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Mailed Check,18.38404445,184.979684,2233.567181
Dallas,TX,Dallas,32.78137,-96.87917,26320,Suburban,Academic librarian,0,29,24270.88,Divorced,Female,Yes,11.0596826,13,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),4.672610857,245.145743,1158.91369
Claytonville,IL,Iroquois,40.57234,-87.80962,35,Rural,Mudlogger,0,83,54466.33,Married,Female,No,8.834079073,17,0,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,Electronic Check,6.796299371,124.97808,529.40733
Fayetteville,NC,Cumberland,35.07431,-78.88358,17600,Rural,Chief Strategy Officer,5,80,103311.26,Never Married,Male,No,9.394961367,15,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Mailed Check,20.31163945,162.500692,2056.386979
Stanley,ND,Mountrail,48.36433,-102.42437,3324,Suburban,"Loss adjuster, chartered",0,20,40211.04,Never Married,Male,No,14.4754365,11,1,1,No,One year,No,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Electronic Check,6.998814446,182.467607,1067.373076
Calhoun,KY,McLean,37.58745,-87.30164,4038,Urban,Hydrographic surveyor,1,32,43466.35,Never Married,Male,No,13.79409442,10,1,0,No,One year,No,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Bank Transfer(automatic),11.13472066,182.467607,1397.701335
Buckhannon,WV,Upshur,39.00049,-80.20387,19904,Rural,Research scientist (medical),2,25,49158.49,Separated,Male,No,10.24782033,9,1,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,Electronic Check,17.22596021,169.937833,1886.531937
Pleasant Hill,MO,Cass,38.76701,-94.25448,13000,Suburban,Wellsite geologist,0,69,3805.84,Divorced,Male,Yes,14.86100819,16,0,2,No,Month-to-month,Yes,No,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,22.79214163,204.963371,2294.781131
Valparaiso,NE,Saunders,41.07317,-96.83986,1444,Urban,"Embryologist, clinical",3,71,52616.27,Widowed,Male,Yes,6.716953195,10,2,1,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Electronic Check,3.823689744,204.963371,826.3438621
Buchanan,NY,Westchester,41.26302,-73.94368,2158,Urban,Occupational psychologist,3,53,30550.42,Widowed,Female,Yes,8.124258176,18,1,0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Credit Card (automatic),10.77094687,245.128318,2072.564168
West Baden Springs,IN,Orange,38.61776,-86.61282,1800,Urban,Environmental health practitioner,2,56,12154.01,Divorced,Nonbinary,Yes,14.60903837,11,0,2,No,Month-to-month,No,Yes,None,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Bank Transfer(automatic),13.08671185,172.473314,1436.793746
Nolan,TX,Nolan,32.29188,-100.21075,30,Suburban,"Sales professional, IT",0,42,30649.31,Married,Male,Yes,12.65015936,9,2,2,No,Month-to-month,Yes,No,DSL,No,Yes,No,No,No,Yes,No,Yes,No,Bank Transfer(automatic),14.76468813,172.456745,1963.332683
Flat Rock,AL,Jackson,34.79657,-85.67879,3682,Suburban,Advertising copywriter,3,33,31417.33,Married,Male,Yes,12.0281501,14,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Electronic Check,9.473091121,194.976769,1324.164906
Angora,MN,St. Louis,47.74202,-92.78159,630,Urban,English as a second language teacher,1,48,9044.26,Widowed,Female,Yes,11.30421466,18,3,1,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Credit Card (automatic),6.577552683,192.470522,888.6517305
Rice Lake,WI,Barron,45.52596,-91.71346,15383,Rural,Occupational therapist,0,63,25381.66,Never Married,Female,Yes,10.26646787,10,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,No,Mailed Check,3.174571918,159.951231,377.0810282
Middlefield,MA,Hampshire,42.35146,-73.02322,257,Urban,Armed forces logistics/support/administrative officer,1,40,65064.31,Widowed,Male,No,7.56618217,9,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Bank Transfer(automatic),17.88002366,112.455141,1606.489936
Canaseraga,NY,Allegany,42.43085,-77.84964,1012,Urban,Technical author,0,67,12527.51,Divorced,Male,Yes,10.40677369,14,2,0,Yes,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Mailed Check,13.12190056,174.961766,1431.409396
Rocky Mount,VA,Franklin,36.95739,-79.86453,20327,Urban,Regulatory affairs officer,0,56,35499.06,Divorced,Female,No,7.146124361,13,3,0,Yes,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No,No,Credit Card (automatic),23.34617699,162.452604,2253.85247
Hope,KY,Montgomery,38.01464,-83.76565,69,Urban,Sales promotion account executive,6,24,26282.4,Married,Female,No,9.807530479,10,1,0,Yes,One year,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,No,No,Yes,Mailed Check,6.311709178,137.483594,1353.29384
Pleasant Dale,NE,Seward,40.80268,-96.95214,1130,Urban,"Optician, dispensing",2,79,51237.28,Divorced,Female,No,10.61217014,12,3,0,No,Two Year,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,12.58298231,275.133571,1701.457566
Watkins Glen,NY,Schuyler,42.37724,-76.94575,4210,Rural,Theme park manager,3,61,64222.21,Married,Male,Yes,5.785085772,16,1,1,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,No,No,Yes,No,Electronic Check,7.120096363,127.442069,1290.737183
Parksville,SC,McCormick,33.7683,-82.2322,155,Urban,"Pharmacist, community",0,38,11014.98,Divorced,Male,Yes,9.062879297,11,2,0,Yes,Two Year,No,No,None,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Electronic Check,9.344886869,210.138,1403.270091
